n: 20	p: 2
FO:	45954.152344
HUBS:	[6, 16]
OR	H1	H2	DS	CUSTO
6	6	6	5	5700.331055
6	6	6	6	0.000000
6	6	6	7	9701.379883
6	6	6	8	15721.179688
6	6	6	9	7201.826172
6	6	6	10	8056.282715
6	6	6	11	13881.124023
6	6	6	12	17329.646484
6	6	6	13	16538.839844
6	6	6	14	14643.553711
6	6	6	15	15410.787109
6	6	16	16	21714.820313
6	6	6	17	21585.144531
6	6	6	18	18454.107422
6	6	6	19	18549.861328
7	6	6	0	32678.457031
7	6	6	1	28643.679688
7	6	6	2	19703.777344
7	6	6	3	31387.003906
7	6	6	4	24389.695313
7	6	6	5	15401.710938
7	6	6	6	9701.379883
7	6	6	7	19402.759766
7	6	6	8	25422.558594
7	6	6	9	16903.207031
7	6	6	10	17757.662109
7	6	6	11	23582.503906
7	6	6	12	27031.027344
7	6	6	13	26240.218750
7	6	6	14	24344.933594
7	6	6	15	25112.167969
7	6	16	16	31416.199219
7	6	6	17	31286.523438
7	6	6	18	28155.488281
7	6	6	19	28251.242188
8	6	6	0	38698.257813
8	6	6	1	34663.480469
8	6	6	2	25723.578125
8	6	6	3	37406.804688
8	6	6	4	30409.496094
8	6	6	5	21421.511719
8	6	6	6	15721.179688
8	6	6	7	25422.558594
8	16	16	8	28875.730469
8	6	6	9	22923.005859
8	6	6	10	23777.462891
8	6	6	11	29602.304688
8	16	16	12	26167.796875
8	16	16	13	31202.580078
8	6	6	14	30364.734375
8	6	6	15	31131.966797
8	16	16	16	14437.865234
8	16	16	17	26645.511719
8	16	16	18	33338.148438
8	6	6	19	34271.039063
9	6	6	0	30178.902344
9	6	6	1	26144.126953
9	6	6	2	17204.224609
9	6	6	3	28887.451172
9	6	6	4	21890.140625
9	6	6	5	12902.157227
9	6	6	6	7201.826172
9	6	6	7	16903.207031
9	6	6	8	22923.005859
9	6	6	9	14403.652344
9	6	6	10	15258.109375
9	6	6	11	21082.949219
9	6	6	12	24531.472656
9	6	6	13	23740.666016
9	6	6	14	21845.378906
9	6	6	15	22612.613281
9	16	16	16	22528.132813
9	6	6	17	28786.970703
9	6	6	18	25655.933594
9	6	6	19	25751.687500
10	6	6	0	31033.359375
10	6	6	1	26998.583984
10	6	6	2	18058.681641
10	6	6	3	29741.908203
10	6	6	4	22744.597656
10	6	6	5	13756.613281
10	6	6	6	8056.282715
10	6	6	7	17757.662109
10	6	6	8	23777.462891
10	6	6	9	15258.109375
10	6	6	10	16112.565430
10	6	6	11	21937.406250
10	6	6	12	25385.929688
10	6	6	13	24595.123047
10	6	6	14	22699.835938
10	6	6	15	23467.070313
10	16	16	16	26522.617188
10	6	6	17	29641.427734
10	6	6	18	26510.390625
10	6	6	19	26606.144531
11	6	6	0	36858.199219
11	6	6	1	32823.425781
11	6	6	2	23883.523438
11	6	6	3	35566.750000
11	6	6	4	28569.439453
11	6	6	5	19581.455078
11	6	6	6	13881.124023
11	6	6	7	23582.503906
11	6	6	8	29602.304688
11	6	6	9	21082.949219
11	6	6	10	21937.406250
11	6	6	11	27762.248047
11	6	6	12	31210.769531
11	6	6	13	30419.964844
11	6	6	14	28524.677734
11	6	6	15	29291.910156
11	16	16	16	34705.156250
11	6	6	17	35466.269531
11	6	6	18	32335.230469
11	6	6	19	32430.984375
12	6	6	0	40306.722656
12	6	6	1	36271.945313
12	6	6	2	27332.044922
12	6	6	3	39015.273438
12	16	16	4	30749.097656
12	6	6	5	23029.976563
12	6	6	6	17329.646484
12	6	6	7	27031.027344
12	16	16	8	26167.796875
12	6	6	9	24531.472656
12	6	6	10	25385.929688
12	6	6	11	31210.769531
12	16	16	12	23459.861328
12	16	16	13	28494.644531
12	6	6	14	31973.199219
12	6	6	15	32740.433594
12	16	16	16	11729.930664
12	16	16	17	23937.578125
12	16	16	18	30630.210938
12	16	16	19	35031.863281
13	6	6	0	39515.914063
13	6	6	1	35481.140625
13	6	6	2	26541.238281
13	6	6	3	38224.464844
13	6	6	4	31227.156250
13	6	6	5	22239.171875
13	6	6	6	16538.839844
13	6	6	7	26240.218750
13	16	16	8	31202.580078
13	6	6	9	23740.666016
13	6	6	10	24595.123047
13	6	6	11	30419.964844
13	16	16	12	28494.644531
13	6	6	13	33077.679688
13	6	6	14	31182.394531
13	6	6	15	31949.626953
13	16	16	16	16764.714844
13	16	16	17	28972.361328
13	6	6	18	34992.945313
13	6	6	19	35088.703125
14	6	6	0	37620.628906
14	6	6	1	33585.855469
14	6	6	2	24645.953125
14	6	6	3	36329.179688
14	6	6	4	29331.869141
14	6	6	5	20343.884766
14	6	6	6	14643.553711
14	6	6	7	24344.933594
14	6	6	8	30364.734375
14	6	6	9	21845.378906
14	6	6	10	22699.835938
14	6	6	11	28524.677734
14	6	6	12	31973.199219
14	6	6	13	31182.394531
14	6	6	14	29287.107422
14	6	6	15	30054.339844
14	16	16	16	20531.037109
14	16	16	17	32738.683594
14	6	6	18	33097.660156
14	6	6	19	33193.414063
15	6	6	0	38387.863281
15	6	6	1	34353.085938
15	6	6	2	25413.185547
15	6	6	3	37096.414063
15	6	6	4	30099.101563
15	6	6	5	21111.117188
15	6	6	6	15410.787109
15	6	6	7	25112.167969
15	6	6	8	31131.966797
15	6	6	9	22612.613281
15	6	6	10	23467.070313
15	6	6	11	29291.910156
15	6	6	12	32740.433594
15	6	6	13	31949.626953
15	6	6	14	30054.339844
15	6	6	15	30821.574219
15	16	16	16	31342.775391
15	6	6	17	36995.929688
15	6	6	18	33864.894531
15	6	6	19	33960.648438
16	16	16	0	32953.050781
16	16	16	1	39186.632813
16	16	6	2	31717.218750
16	16	6	3	43400.445313
16	16	16	4	19019.167969
16	16	16	5	26912.255859
16	16	6	6	21714.820313
16	16	6	7	31416.199219
16	16	16	8	14437.865234
16	16	16	9	22528.132813
16	16	16	10	26522.617188
16	16	16	11	34705.156250
16	16	16	12	11729.930664
16	16	16	13	16764.714844
16	16	16	14	20531.037109
16	16	16	15	31342.775391
16	16	16	16	0.000000
16	16	16	17	12207.646484
16	16	16	18	18900.281250
16	16	16	19	23301.931641
17	6	6	0	44562.218750
17	6	6	1	40527.445313
17	6	6	2	31587.542969
17	6	6	3	43270.769531
17	16	16	4	31226.814453
17	6	6	5	27285.476563
17	6	6	6	21585.144531
17	6	6	7	31286.523438
17	16	16	8	26645.511719
17	6	6	9	28786.970703
17	6	6	10	29641.427734
17	6	6	11	35466.269531
17	16	16	12	23937.578125
17	16	16	13	28972.361328
17	16	16	14	32738.683594
17	6	6	15	36995.929688
17	16	16	16	12207.646484
17	16	16	17	24415.292969
17	16	16	18	31107.927734
17	16	16	19	35509.578125
18	6	6	0	41431.183594
18	6	6	1	37396.406250
18	6	6	2	28456.505859
18	6	6	3	40139.734375
18	6	6	4	33142.421875
18	6	6	5	24154.437500
18	6	6	6	18454.107422
18	6	6	7	28155.488281
18	16	16	8	33338.148438
18	6	6	9	25655.933594
18	6	6	10	26510.390625
18	6	6	11	32335.230469
18	16	16	12	30630.210938
18	6	6	13	34992.945313
18	6	6	14	33097.660156
18	6	6	15	33864.894531
18	16	16	16	18900.281250
18	16	16	17	31107.927734
18	6	6	18	36908.214844
18	6	6	19	37003.968750
19	6	6	0	41526.937500
19	6	6	1	37492.164063
19	6	6	2	28552.259766
19	6	6	3	40235.484375
19	6	6	4	33238.175781
19	6	6	5	24250.191406
19	6	6	6	18549.861328
19	6	6	7	28251.242188
19	6	6	8	34271.039063
19	6	6	9	25751.687500
19	6	6	10	26606.144531
19	6	6	11	32430.984375
19	16	16	12	35031.863281
19	6	6	13	35088.703125
19	6	6	14	33193.414063
19	6	6	15	33960.648438
19	16	16	16	23301.931641
19	16	16	17	35509.578125
19	6	6	18	37003.968750
19	6	6	19	37099.722656
n: 20	p: 5
FO:	37868.148438
HUBS:	[6, 3, 0, 16, 12]
OR	H1	H2	DS	CUSTO
0	0	0	0	0.000000
0	0	0	1	11573.680664
0	0	0	2	18163.412109
0	0	3	3	27613.445313
0	0	0	4	15640.175781
0	0	0	5	17506.423828
0	0	6	6	17232.806641
0	0	6	7	26934.187500
0	0	0	8	20952.585938
0	0	6	9	24434.632813
0	0	6	10	25289.089844
0	0	6	11	31113.931641
0	0	12	12	20063.939453
0	0	12	13	27664.761719
0	0	12	14	30743.203125
0	0	6	15	32643.593750
0	0	16	16	24714.789063
0	0	12	17	27575.716797
0	0	12	18	31088.648438
0	0	12	19	35107.472656
1	0	0	0	11573.680664
1	0	0	1	23147.361328
1	6	6	2	28944.699219
1	3	3	3	26434.767578
1	0	0	4	27213.855469
1	6	6	5	24642.632813
1	6	6	6	18942.300781
1	6	6	7	28643.679688
1	0	0	8	32526.265625
1	6	6	9	26144.126953
1	6	6	10	26998.583984
1	6	6	11	32823.425781
1	12	12	12	30086.017578
1	6	6	13	35481.140625
1	6	6	14	33585.855469
1	6	6	15	34353.085938
1	0	16	16	36288.468750
1	12	12	17	37597.792969
1	6	6	18	37396.406250
1	6	6	19	37492.164063
2	0	0	0	18163.412109
2	6	6	1	28944.699219
2	6	6	2	20004.796875
2	3	3	3	19050.708984
2	6	6	4	24690.714844
2	6	6	5	15702.729492
2	6	6	6	10002.398438
2	6	6	7	19703.777344
2	6	6	8	25723.578125
2	6	6	9	17204.224609
2	6	6	10	18058.681641
2	6	6	11	23883.523438
2	6	12	12	22999.632813
2	6	6	13	26541.238281
2	6	6	14	24645.953125
2	6	6	15	25413.185547
2	6	16	16	31717.218750
2	6	12	17	30511.410156
2	6	6	18	28456.505859
2	6	6	19	28552.259766
3	3	0	0	27613.445313
3	3	3	1	26434.767578
3	3	3	2	19050.708984
3	3	3	3	0.000000
3	3	6	4	30952.535156
3	3	6	5	21964.550781
3	3	6	6	16264.218750
3	3	3	7	16710.349609
3	3	6	8	31985.398438
3	3	6	9	23466.044922
3	3	6	10	24320.501953
3	3	3	11	21074.068359
3	3	12	12	29078.970703
3	3	6	13	32803.058594
3	3	6	14	30907.773438
3	3	3	15	25973.289063
3	3	16	16	37868.148438
3	3	12	17	36590.746094
3	3	6	18	34718.328125
3	3	3	19	34468.824219
4	0	0	0	15640.175781
4	0	0	1	27213.855469
4	6	6	2	24690.714844
4	6	3	3	30952.535156
4	12	12	4	22228.593750
4	6	6	5	20388.646484
4	6	6	6	14688.315430
4	6	6	7	24389.695313
4	12	12	8	16957.640625
4	6	6	9	21890.140625
4	6	6	10	22744.597656
4	6	6	11	28569.439453
4	12	12	12	11114.296875
4	12	12	13	18715.119141
4	12	12	14	21793.560547
4	6	6	15	30099.101563
4	16	16	16	19019.167969
4	12	12	17	18626.074219
4	12	12	18	22139.005859
4	12	12	19	26157.830078
5	0	0	0	17506.423828
5	6	6	1	24642.632813
5	6	6	2	15702.729492
5	6	3	3	21964.550781
5	6	6	4	20388.646484
5	6	6	5	11400.662109
5	6	6	6	5700.331055
5	6	6	7	15401.710938
5	6	6	8	21421.511719
5	6	6	9	12902.157227
5	6	6	10	13756.613281
5	6	6	11	19581.455078
5	12	12	12	16055.965820
5	6	6	13	22239.171875
5	6	6	14	20343.884766
5	6	6	15	21111.117188
5	12	16	16	24853.414063
5	12	12	17	23567.742188
5	6	6	18	24154.437500
5	6	6	19	24250.191406
6	6	0	0	17232.806641
6	6	6	1	18942.300781
6	6	6	2	10002.398438
6	6	3	3	16264.218750
6	6	6	4	14688.315430
6	6	6	5	5700.331055
6	6	6	6	0.000000
6	6	6	7	9701.379883
6	6	6	8	15721.179688
6	6	6	9	7201.826172
6	6	6	10	8056.282715
6	6	6	11	13881.124023
6	6	12	12	12997.234375
6	6	6	13	16538.839844
6	6	6	14	14643.553711
6	6	6	15	15410.787109
6	6	16	16	21714.820313
6	6	12	17	20509.011719
6	6	6	18	18454.107422
6	6	6	19	18549.861328
7	6	0	0	26934.187500
7	6	6	1	28643.679688
7	6	6	2	19703.777344
7	3	3	3	16710.349609
7	6	6	4	24389.695313
7	6	6	5	15401.710938
7	6	6	6	9701.379883
7	6	6	7	19402.759766
7	6	6	8	25422.558594
7	6	6	9	16903.207031
7	6	6	10	17757.662109
7	6	6	11	23582.503906
7	6	12	12	22698.615234
7	6	6	13	26240.218750
7	6	6	14	24344.933594
7	6	6	15	25112.167969
7	6	16	16	31416.199219
7	6	12	17	30210.390625
7	6	6	18	28155.488281
7	6	6	19	28251.242188
8	0	0	0	20952.585938
8	0	0	1	32526.265625
8	6	6	2	25723.578125
8	6	3	3	31985.398438
8	12	12	4	16957.640625
8	6	6	5	21421.511719
8	6	6	6	15721.179688
8	6	6	7	25422.558594
8	12	12	8	11686.685547
8	12	12	9	16648.214844
8	12	12	10	20950.042969
8	12	12	11	29582.101563
8	12	12	12	5843.342773
8	12	12	13	13444.165039
8	12	12	14	16522.605469
8	12	12	15	26930.492188
8	16	16	16	14437.865234
8	12	12	17	13355.119141
8	12	12	18	16868.050781
8	12	12	19	20886.875000
9	6	0	0	24434.632813
9	6	6	1	26144.126953
9	6	6	2	17204.224609
9	6	3	3	23466.044922
9	6	6	4	21890.140625
9	6	6	5	12902.157227
9	6	6	6	7201.826172
9	6	6	7	16903.207031
9	12	12	8	16648.214844
9	6	6	9	14403.652344
9	6	6	10	15258.109375
9	6	6	11	21082.949219
9	12	12	12	10804.873047
9	12	12	13	18405.695313
9	12	12	14	21484.136719
9	6	6	15	22612.613281
9	12	16	16	19602.320313
9	12	12	17	18316.650391
9	12	12	18	21829.582031
9	6	6	19	25751.687500
10	6	0	0	25289.089844
10	6	6	1	26998.583984
10	6	6	2	18058.681641
10	6	3	3	24320.501953
10	6	6	4	22744.597656
10	6	6	5	13756.613281
10	6	6	6	8056.282715
10	6	6	7	17757.662109
10	12	12	8	20950.042969
10	6	6	9	15258.109375
10	6	6	10	16112.565430
10	6	6	11	21937.406250
10	12	12	12	15106.700195
10	12	12	13	22707.523438
10	6	6	14	22699.835938
10	6	6	15	23467.070313
10	12	16	16	23904.148438
10	12	12	17	22618.476563
10	12	12	18	26131.410156
10	6	6	19	26606.144531
11	6	0	0	31113.931641
11	6	6	1	32823.425781
11	6	6	2	23883.523438
11	3	3	3	21074.068359
11	6	6	4	28569.439453
11	6	6	5	19581.455078
11	6	6	6	13881.124023
11	6	6	7	23582.503906
11	12	12	8	29582.101563
11	6	6	9	21082.949219
11	6	6	10	21937.406250
11	6	6	11	27762.248047
11	12	12	12	23738.759766
11	6	6	13	30419.964844
11	6	6	14	28524.677734
11	6	6	15	29291.910156
11	12	16	16	32536.207031
11	12	12	17	31250.537109
11	6	6	18	32335.230469
11	6	6	19	32430.984375
12	12	0	0	20063.939453
12	12	12	1	30086.017578
12	12	6	2	22999.632813
12	12	3	3	29078.970703
12	12	12	4	11114.296875
12	12	12	5	16055.965820
12	12	6	6	12997.234375
12	12	6	7	22698.615234
12	12	12	8	5843.342773
12	12	12	9	10804.873047
12	12	12	10	15106.700195
12	12	12	11	23738.759766
12	12	12	12	0.000000
12	12	12	13	7600.822266
12	12	12	14	10679.263672
12	12	12	15	21087.150391
12	12	16	16	8797.448242
12	12	12	17	7511.776855
12	12	12	18	11024.708984
12	12	12	19	15043.533203
13	12	0	0	27664.761719
13	6	6	1	35481.140625
13	6	6	2	26541.238281
13	6	3	3	32803.058594
13	12	12	4	18715.119141
13	6	6	5	22239.171875
13	6	6	6	16538.839844
13	6	6	7	26240.218750
13	12	12	8	13444.165039
13	12	12	9	18405.695313
13	12	12	10	22707.523438
13	6	6	11	30419.964844
13	12	12	12	7600.822266
13	12	12	13	15201.644531
13	12	12	14	18280.085938
13	12	12	15	28687.972656
13	12	16	16	16398.269531
13	12	12	17	15112.599609
13	12	12	18	18625.531250
13	12	12	19	22644.355469
14	12	0	0	30743.203125
14	6	6	1	33585.855469
14	6	6	2	24645.953125
14	6	3	3	30907.773438
14	12	12	4	21793.560547
14	6	6	5	20343.884766
14	6	6	6	14643.553711
14	6	6	7	24344.933594
14	12	12	8	16522.605469
14	12	12	9	21484.136719
14	6	6	10	22699.835938
14	6	6	11	28524.677734
14	12	12	12	10679.263672
14	12	12	13	18280.085938
14	12	12	14	21358.527344
14	6	6	15	30054.339844
14	12	16	16	19476.710938
14	12	12	17	18191.041016
14	12	12	18	21703.972656
14	12	12	19	25722.796875
15	6	0	0	32643.593750
15	6	6	1	34353.085938
15	6	6	2	25413.185547
15	3	3	3	25973.289063
15	6	6	4	30099.101563
15	6	6	5	21111.117188
15	6	6	6	15410.787109
15	6	6	7	25112.167969
15	12	12	8	26930.492188
15	6	6	9	22612.613281
15	6	6	10	23467.070313
15	6	6	11	29291.910156
15	12	12	12	21087.150391
15	12	12	13	28687.972656
15	6	6	14	30054.339844
15	6	6	15	30821.574219
15	12	16	16	29884.597656
15	12	12	17	28598.927734
15	12	12	18	32111.859375
15	6	6	19	33960.648438
16	16	0	0	24714.789063
16	16	0	1	36288.468750
16	16	6	2	31717.218750
16	16	3	3	37868.148438
16	16	16	4	19019.167969
16	16	12	5	24853.414063
16	16	6	6	21714.820313
16	16	6	7	31416.199219
16	16	16	8	14437.865234
16	16	12	9	19602.320313
16	16	12	10	23904.148438
16	16	12	11	32536.207031
16	16	12	12	8797.448242
16	16	12	13	16398.269531
16	16	12	14	19476.710938
16	16	12	15	29884.597656
16	16	16	16	0.000000
16	16	16	17	12207.646484
16	16	16	18	18900.281250
16	16	16	19	23301.931641
17	12	0	0	27575.716797
17	12	12	1	37597.792969
17	12	6	2	30511.410156
17	12	3	3	36590.746094
17	12	12	4	18626.074219
17	12	12	5	23567.742188
17	12	6	6	20509.011719
17	12	6	7	30210.390625
17	12	12	8	13355.119141
17	12	12	9	18316.650391
17	12	12	10	22618.476563
17	12	12	11	31250.537109
17	12	12	12	7511.776855
17	12	12	13	15112.599609
17	12	12	14	18191.041016
17	12	12	15	28598.927734
17	16	16	16	12207.646484
17	12	12	17	15023.553711
17	12	12	18	18536.486328
17	12	12	19	22555.310547
18	12	0	0	31088.648438
18	6	6	1	37396.406250
18	6	6	2	28456.505859
18	6	3	3	34718.328125
18	12	12	4	22139.005859
18	6	6	5	24154.437500
18	6	6	6	18454.107422
18	6	6	7	28155.488281
18	12	12	8	16868.050781
18	12	12	9	21829.582031
18	12	12	10	26131.410156
18	6	6	11	32335.230469
18	12	12	12	11024.708984
18	12	12	13	18625.531250
18	12	12	14	21703.972656
18	12	12	15	32111.859375
18	16	16	16	18900.281250
18	12	12	17	18536.486328
18	12	12	18	22049.417969
18	12	12	19	26068.242188
19	12	0	0	35107.472656
19	6	6	1	37492.164063
19	6	6	2	28552.259766
19	3	3	3	34468.824219
19	12	12	4	26157.830078
19	6	6	5	24250.191406
19	6	6	6	18549.861328
19	6	6	7	28251.242188
19	12	12	8	20886.875000
19	6	6	9	25751.687500
19	6	6	10	26606.144531
19	6	6	11	32430.984375
19	12	12	12	15043.533203
19	12	12	13	22644.355469
19	12	12	14	25722.796875
19	6	6	15	33960.648438
19	16	16	16	23301.931641
19	12	12	17	22555.310547
19	12	12	18	26068.242188
19	12	12	19	30087.066406
n: 20	p: 5
FO:	37868.148438
HUBS:	[6, 3, 0, 17, 16]
OR	H1	H2	DS	CUSTO
0	0	0	0	0.000000
0	0	0	1	11573.680664
0	0	0	2	18163.412109
0	0	3	3	27613.445313
0	0	0	4	15640.175781
0	0	0	5	17506.423828
0	0	6	6	17232.806641
0	0	6	7	26934.187500
0	0	0	8	20952.585938
0	0	6	9	24434.632813
0	0	6	10	25289.089844
0	0	6	11	31113.931641
0	0	0	12	26751.919922
0	0	17	13	31267.707031
0	0	6	14	31876.361328
0	0	6	15	32643.593750
0	0	16	16	24714.789063
0	0	17	17	25665.275391
0	0	17	18	32434.980469
0	0	6	19	35782.667969
1	0	0	0	11573.680664
1	0	0	1	23147.361328
1	6	6	2	28944.699219
1	3	3	3	26434.767578
1	0	0	4	27213.855469
1	6	6	5	24642.632813
1	6	6	6	18942.300781
1	6	6	7	28643.679688
1	0	0	8	32526.265625
1	6	6	9	26144.126953
1	6	6	10	26998.583984
1	6	6	11	32823.425781
1	6	6	12	36271.945313
1	6	6	13	35481.140625
1	6	6	14	33585.855469
1	6	6	15	34353.085938
1	0	16	16	36288.468750
1	6	17	17	35131.160156
1	6	6	18	37396.406250
1	6	6	19	37492.164063
2	0	0	0	18163.412109
2	6	6	1	28944.699219
2	6	6	2	20004.796875
2	3	3	3	19050.708984
2	6	6	4	24690.714844
2	6	6	5	15702.729492
2	6	6	6	10002.398438
2	6	6	7	19703.777344
2	6	6	8	25723.578125
2	6	6	9	17204.224609
2	6	6	10	18058.681641
2	6	6	11	23883.523438
2	6	6	12	27332.044922
2	6	6	13	26541.238281
2	6	6	14	24645.953125
2	6	6	15	25413.185547
2	6	16	16	31717.218750
2	6	17	17	26191.257813
2	6	6	18	28456.505859
2	6	6	19	28552.259766
3	3	0	0	27613.445313
3	3	3	1	26434.767578
3	3	3	2	19050.708984
3	3	3	3	0.000000
3	3	6	4	30952.535156
3	3	6	5	21964.550781
3	3	6	6	16264.218750
3	3	3	7	16710.349609
3	3	6	8	31985.398438
3	3	6	9	23466.044922
3	3	6	10	24320.501953
3	3	3	11	21074.068359
3	3	6	12	33593.867188
3	3	6	13	32803.058594
3	3	6	14	30907.773438
3	3	3	15	25973.289063
3	3	16	16	37868.148438
3	3	17	17	31249.792969
3	3	6	18	34718.328125
3	3	3	19	34468.824219
4	0	0	0	15640.175781
4	0	0	1	27213.855469
4	6	6	2	24690.714844
4	6	3	3	30952.535156
4	6	6	4	29376.630859
4	6	6	5	20388.646484
4	6	6	6	14688.315430
4	6	6	7	24389.695313
4	6	6	8	30409.496094
4	6	6	9	21890.140625
4	6	6	10	22744.597656
4	6	6	11	28569.439453
4	17	17	12	26095.203125
4	17	17	13	24185.859375
4	17	17	14	27761.507813
4	6	6	15	30099.101563
4	16	16	16	19019.167969
4	17	17	17	18583.425781
4	17	17	18	25353.128906
4	17	17	19	29706.306641
5	0	0	0	17506.423828
5	6	6	1	24642.632813
5	6	6	2	15702.729492
5	6	3	3	21964.550781
5	6	6	4	20388.646484
5	6	6	5	11400.662109
5	6	6	6	5700.331055
5	6	6	7	15401.710938
5	6	6	8	21421.511719
5	6	6	9	12902.157227
5	6	6	10	13756.613281
5	6	6	11	19581.455078
5	6	6	12	23029.976563
5	6	6	13	22239.171875
5	6	6	14	20343.884766
5	6	6	15	21111.117188
5	16	16	16	26912.255859
5	6	17	17	21889.189453
5	6	6	18	24154.437500
5	6	6	19	24250.191406
6	6	0	0	17232.806641
6	6	6	1	18942.300781
6	6	6	2	10002.398438
6	6	3	3	16264.218750
6	6	6	4	14688.315430
6	6	6	5	5700.331055
6	6	6	6	0.000000
6	6	6	7	9701.379883
6	6	6	8	15721.179688
6	6	6	9	7201.826172
6	6	6	10	8056.282715
6	6	6	11	13881.124023
6	6	6	12	17329.646484
6	6	6	13	16538.839844
6	6	6	14	14643.553711
6	6	6	15	15410.787109
6	6	16	16	21714.820313
6	6	17	17	16188.858398
6	6	6	18	18454.107422
6	6	6	19	18549.861328
7	6	0	0	26934.187500
7	6	6	1	28643.679688
7	6	6	2	19703.777344
7	3	3	3	16710.349609
7	6	6	4	24389.695313
7	6	6	5	15401.710938
7	6	6	6	9701.379883
7	6	6	7	19402.759766
7	6	6	8	25422.558594
7	6	6	9	16903.207031
7	6	6	10	17757.662109
7	6	6	11	23582.503906
7	6	6	12	27031.027344
7	6	6	13	26240.218750
7	6	6	14	24344.933594
7	6	6	15	25112.167969
7	6	16	16	31416.199219
7	17	17	17	25348.378906
7	6	6	18	28155.488281
7	6	6	19	28251.242188
8	0	0	0	20952.585938
8	0	0	1	32526.265625
8	6	6	2	25723.578125
8	6	3	3	31985.398438
8	6	6	4	30409.496094
8	6	6	5	21421.511719
8	6	6	6	15721.179688
8	6	6	7	25422.558594
8	17	17	8	26709.685547
8	6	6	9	22923.005859
8	6	6	10	23777.462891
8	6	6	11	29602.304688
8	17	17	12	20866.619141
8	17	17	13	18957.275391
8	17	17	14	22532.925781
8	6	6	15	31131.966797
8	16	16	16	14437.865234
8	17	17	17	13354.842773
8	17	17	18	20124.546875
8	17	17	19	24477.722656
9	6	0	0	24434.632813
9	6	6	1	26144.126953
9	6	6	2	17204.224609
9	6	3	3	23466.044922
